#fotor-led (V)
1.7840 2.6440
1.7840 2.6440
1.7840 2.6440
1.7790 2.6395
1.8035 2.7175
1.8330 2.7615
1.8230 2.7515
0.9285 0.9435
0.0295 0.0295
0.0245 0.0295
0.4300 0.4055
1.1145 1.1925
1.2610 1.4270
0.3420 0.3325
0.0100 0.0295
0.0050 0.0340
0.8750 0.8700
0.8895 0.8895
0.0100 0.0295
0.1710 0.1955
0.6890 0.6600
1.1435 1.2415
1.4905 1.8670
1.7060 2.3850
1.8230 2.7275
1.8085 2.6880
1.3490 1.5980
0.9285 0.9335
0.5525 0.5130
0.0245 0.0440
0.0195 0.0295
0.0195 0.0295
0.0195 0.0295
0.0000 0.0295
0.4740 0.4545
1.3490 1.5835
1.8230 2.7275
0.9090 0.9140
0.2005 0.2250
0.0000 0.0295
0.0000 0.0295
0.0000 0.0295
0.1125 0.1760
0.7820 0.7625
1.6130 2.1505
1.8230 2.7225
0.9385 0.9530
0.0000 0.0295
0.0000 0.0295
0.0000 0.0295
0.0000 0.0295
0.2735 0.2835
1.1680 1.2805
1.8280 2.7275
1.5885 2.1065
1.0165 1.0605
0.0000 0.0340
0.0000 0.0340
0.0000 0.0295
0.0000 0.0295
0.1270 0.1710
1.2755 1.4565
1.8230 2.7275
0.7625 0.7430
0.0195 0.0780
0.0000 0.0295
0.0000 0.0340
0.5085 0.4935
1.8180 2.7075
0.4450 0.4250
0.0000 0.0295
0.0000 0.0440
0.8995 0.9090
1.8230 2.7225
0.2150 0.2345
0.0000 0.0295
0.0000 0.0295
1.0315 1.0800
